preference_key,movie_title,star_cast,rating,year,place,vote,link
2,Amores perros,"Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal",8.021020881155552,2000,234,,/title/tt0245712/
3,Piratas del Caribe - La maldición del Perla Negra,"Gore Verbinski (dir.), Johnny Depp, Geoffrey Rush",8.02088111058276,2003,235,,/title/tt0325980/
4,La leyenda del indomable,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy",8.020459703006928,1967,236,,/title/tt0061512/
1,Jai Bhim,"T.J. Gnanavel (dir.), Suriya, Lijo Mol Jose",8.020359527609871,2021,237,,/title/tt15097216/
2,La haine,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé",8.019851372503894,1995,238,,/title/tt0113247/
3,Babam ve Oglum,"Cagan Irmak (dir.), Çetin Tekindor, Fikret Kuskan",8.018359493896265,2005,239,,/title/tt0476735/
4,Los 400 golpes,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy",8.015786867555777,1959,240,,/title/tt0053198/
1,Persona,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann",8.015212838003245,1966,241,,/title/tt0060827/
2,Sucedió una noche,"Frank Capra (dir.), Clark Gable, Claudette Colbert",8.013656725155888,1934,242,,/title/tt0025316/
3,La vida de Brian,"Terry Jones (dir.), Graham Chapman, John Cleese",8.012685808390582,1979,243,,/title/tt0079470/
4,The Handmaiden,"Park Chan-wook (dir.), Kim Min-hee, Ha Jung-woo",8.012569399959096,2016,244,,/title/tt4016934/
1,La novicia rebelde,"Robert Wise (dir.), Julie Andrews, Christopher Plummer",8.0121167812886,1965,245,,/title/tt0059742/
2,Dersu Uzala,"Akira Kurosawa (dir.), Maksim Munzuk, Yuriy Solomin",8.007986335032522,1975,246,,/title/tt0071411/
3,Gandhi,"Richard Attenborough (dir.), Ben Kingsley, John Gielgud",8.005182123589739,1982,247,,/title/tt0083987/
4,Historias cruzadas,"Tate Taylor (dir.), Viola Davis, Emma Stone",8.005078757559348,2011,248,,/title/tt1454029/
1,Aladdín,"Ron Clements (dir.), Scott Weinger, Robin Williams",8.004834221112118,1992,249,,/title/tt0103639/
2,El gigante de hierro,"Brad Bird (dir.), Eli Marienthal, Harry Connick Jr.",8.003444693559398,1999,250,,/title/tt0129167/
